ticker,name,phrases
MMM,3M,"['Innovative materials giant', 'The Post-it Notes creator', ""Scotch Tape's parent company"", 'Multinational conglomerate powerhouse', 'Leader in consumer goods', 'The company behind N95 masks', 'Global science-driven brand', 'Pioneer in new technologies', 'Diversified technology corporation', 'Makers of industrial-grade products', 'Inventors of reflective road signs', 'The force in healthcare products', 'Specialists in worker safety gear', 'Command strip manufacturers', 'Experts in filtration technology', 'Home improvement essentials provider', 'The go-to for office supplies', 'Innovation in adhesives and laminates', 'Creators of medical diagnostic products', 'Sustainability-focused corporation', 'Leaders in the science of safety', 'Renowned for its research and development', 'Essential products for everyday life', 'The brains behind optical films', ""Makers of the world's first waterproof sandpaper"", 'Provider of professional automotive products', 'Dedicated to scientific exploration', 'The source of dental and orthodontic solutions', 'Advanced materials for electronics', 'Champion of consumer health products', 'A name synonymous with quality and reliability', 'Front-runners in energy management solutions', 'Innovators in personal care items', 'The backbone of modern office environments', 'Masters in the art of invention', 'A staple in the industrial sector', 'Trailblazers in environmental science', 'The architects of acoustic solutions', 'Key player in the aerospace industry', 'Manufacturers of cutting-edge cleaning products', 'The authority on passive fire protection', 'Driving the future of digital healthcare', 'Leaders in protective eyewear', 'Pioneers in paint preparation systems', 'Your partner in automotive care', 'Influence in the world of graphic films', 'Innovators of energy-efficient lighting', 'Creators of smart and secure documents', 'Revolutionizing the construction industry', 'The foundation of modern manufacturing']"
AOS,A. O. Smith,"['leading water heater manufacturer', 'A. O. Smith, the water technology company', 'AOS, known for durable water heaters', 'innovative water solutions by A. O. Smith', 'quality water treatment products from AOS', 'trusted name in water heating', 'A. O. Smith, a top choice for plumbers', 'reliable residential and commercial water heaters', 'energy-efficient water heaters by AOS', 'advanced water filtration systems from A. O. Smith', 'the go-to company for hot water solutions', 'AOS, enhancing water purity and taste', 'sustainable water heating technologies by A. O. Smith', ""A. O. Smith's commitment to innovation"", 'premium water heaters and boilers', 'AOS, leading the way in water heating efficiency', 'dependable water heating and filtration solutions', 'A. O. Smith, a synonym for water heating excellence', 'enhancing daily life with superior water technology', 'state-of-the-art water heaters from AOS', 'A. O. Smith, pioneering advanced water systems', 'the future of water heating and treatment with AOS', 'A. O. Smith, making water safer and cleaner', 'eco-friendly water heaters by AOS', 'A. O. Smith: a century of water heating expertise', 'high-performance water products from AOS', 'A. O. Smith, a brand trusted worldwide', 'next-generation water heaters by A. O. Smith', 'AOS: where technology meets water heating', 'unmatched water heating solutions from A. O. Smith', 'A. O. Smith, revolutionizing water heating', 'energy-saving water heaters and softeners by AOS', 'A. O. Smith, your partner in water heating', 'AOS, setting the standard in water technology', 'the ultimate water heating experience by A. O. Smith', 'AOS: innovative, reliable, efficient', 'A. O. Smith, enhancing the quality of water', 'AOS, a leader in water heating and filtration', 'A. O. Smith, committed to water innovation', 'the best in water heaters and purifiers from AOS', 'A. O. Smith, making life better with hot water', 'smart water heating solutions by AOS', 'A. O. Smith, the name behind efficient water heating', 'AOS, transforming the way we heat water', 'your water heating and purification ally: A. O. Smith', 'A. O. Smith: efficiency, durability, innovation', 'AOS, the ultimate choice for water heating technology', 'trusted water technology from A. O. Smith', 'A. O. Smith, a global leader in water heating', 'AOS, driving forward water technology']"
ABT,Abbott,"['Healthcare giant', 'Leading medical devices company', 'Abbott Laboratories powerhouse', 'Innovative healthcare solutions provider', 'Pioneers in diagnostics', 'Nutrition products leader', 'Global healthcare innovator', 'Top pharmaceutical company', 'Trusted name in heart health', 'World-renowned medical devices maker', 'Cutting-edge diabetes care', 'Leading in rapid diagnostics', 'Experts in vascular therapy', 'Premier nutrition for all ages', 'Advancing medical science', 'Dedicated to healthier futures', 'Abbott: A name in wellness', 'Trailblazers in medical research', 'Quality life-enhancing products', 'Your partner in health and well-being', 'Committed to better healthcare', 'Innovators in medical technology', 'From pediatrics to geriatrics, Abbott cares', ""Abbott's breakthrough medical devices"", 'Improving lives with advanced diagnostics', 'The backbone of modern healthcare', 'Essential nutrition for every stage of life', ""Abbott's enduring commitment to health"", 'Empowering healthier lives worldwide', 'The heart of medical innovation', 'Global leaders in healthcare solutions', 'Abbott: Synonymous with life-changing technology', 'Transforming the future of health', 'A legacy of medical excellence', 'Driving forward in healthcare innovation', 'Abbott: Where science meets care', 'Championing global health and wellness', 'Setting new standards in healthcare', 'A world without limits in healthcare', ""Abbott's vision for a healthier tomorrow"", 'Leading the way in patient care', 'The science of feeling better', 'Abbott: Your health, our mission', 'Revolutionizing the approach to healthcare', 'Building a healthier future for all', 'Elevating standards in medical care', 'The power of health in your hands', 'Abbott: Engineering the future of health', 'Pioneering new paths in healthcare', 'Creating a world of better health']"
ABBV,AbbVie,"['Pharmaceutical giant', 'Big biotech firm', 'Innovative drug maker', 'Leader in healthcare solutions', 'Pioneer in medical treatments', 'Top prescription medicine producer', 'Creator of blockbuster drugs', 'Global healthcare company', 'Renowned for medical research', 'Expert in biopharmaceuticals', 'Specialist in chronic diseases treatment', 'Developer of advanced therapies', 'Revolutionizing patient care', 'Cutting-edge medicine innovator', 'Trusted name in healthcare', 'Provider of essential medications', 'Champion in fighting serious illnesses', 'Dedicated to improving lives', 'Prominent player in the pharmaceutical industry', 'Powerhouse in drug development', 'Committed to healthcare advancements', 'Leader in therapeutic discoveries', 'Trailblazer in medical science', 'Forefront of health innovation', 'Making strides in medicine', 'Expanding the boundaries of science', 'Distinguished by groundbreaking research', 'Investing in future health solutions', 'Driving pharmaceutical breakthroughs', 'Pursuing cures for complex diseases', 'Key contributor to medical progress', 'Famous for its research and development', 'Enhancing patient outcomes', 'Delivering life-changing treatments', 'Focused on unmet medical needs', 'Building a healthier future', 'Synonymous with excellence in healthcare', 'Advancing the field of medicine', 'Setting new standards in healthcare', 'Dedicated to scientific excellence', 'Transforming the landscape of healthcare', 'A leader in biologic therapies', 'Originator of high-quality drugs', 'Elevating patient care standards', 'A beacon of hope for patients', 'Empowering healthcare professionals', 'Committed to breakthrough innovations', 'Shaping the future of healthcare', 'A trusted partner in health', 'Advocate for better health outcomes']"
ACN,Accenture,"['Global consulting giant', 'Leading in technology services', 'Innovators in digital transformation', 'Fortune 500 powerhouse', 'Experts in IT strategy', 'Leaders in cloud services', 'Top-tier management consulting firm', 'Pioneers in cybersecurity', 'Cutting-edge AI solutions provider', 'Masters of business optimization', 'Trusted advisor for Fortune 100 companies', 'Go-to for enterprise performance', 'Champions of sustainable business practices', 'Driving innovation in healthcare', 'Revolutionizing retail through technology', ""Banking sector's digital ally"", ""Insurance industry's technology partner"", ""Energy sector's transformation leaders"", ""Telecom's guide to the future"", ""Automotive industry's tech innovator"", 'Delivering next-gen customer experiences', 'Facilitators of seamless supply chains', 'Architects of smarter cities', 'Enabling the digital workforce', 'Creators of intelligent platforms', 'Strategists for global expansion', 'Advisors for digital commerce', 'Experts in blockchain implementation', 'Leading the charge in data analytics', 'Masterminds behind smart infrastructure', 'Enhancers of government services', 'Crafters of personalized marketing', 'Guides in the journey to cloud', 'Optimizers of manufacturing processes', 'Pathfinders in the digital landscape', 'Designers of agile organizations', 'Brokers of technology mergers', 'Visionaries of the digital age', 'Facilitators of digital health solutions', 'Navigators of regulatory compliance', 'Safeguards against cyber threats', 'Proponents of ethical AI', 'Catalysts for digital finance', 'Engineers of digital twins', 'Orchestrators of connected ecosystems', 'Accelerators of enterprise agility', 'Harbingers of tech-driven futures', 'Sculptors of digital identities', 'Enablers of seamless customer journeys', 'Architects of the digital enterprise']"
ADBE,Adobe Inc.,"['Creative software giant', 'Photoshop creators', 'Digital design leaders', 'PDF pioneers', 'Innovators in graphic software', 'The company behind Illustrator', 'Premiere Pro developer', 'Masters of digital experiences', 'Cloud-based creative suite experts', 'Multimedia software specialists', 'Acrobat Reader developer', 'Leaders in digital marketing solutions', 'Creative Cloud innovators', 'Animation and video editing wizards', 'Graphic design software powerhouse', 'Digital media management experts', 'The brains behind Lightroom', 'Cloud software for creatives', 'Pillars of the design community', 'Digital document trailblazers', 'Experts in web development tools', 'Creators of essential design software', 'The home of After Effects', 'InDesign creators', 'E-signature solution providers', 'Digital creativity enablers', 'Leading the way in UX design tools', 'Driving digital transformations', 'Champions of creative software', ""The foundation of many designers' toolkits"", 'Architects of the digital canvas', 'Empowering digital artists and designers', 'Pioneers in online document services', 'Revolutionizing the way we create', 'Setting the standard for graphic design', 'Innovative digital solutions provider', 'The go-to for digital creatives', 'Transforming digital media creation', 'Your digital art studio', 'The core of creative professions', 'Unleashing creativity through technology', 'The future of digital design', 'Crafting the tools for digital storytellers', 'Where digital ideas come to life', 'Redefining the creative process', 'A name synonymous with creativity', 'The platform for digital excellence', 'Elevating digital media production', 'Adobe Inc., where innovation meets design', ""ADBE: Empowering the world's creatives""]"
AMD,Advanced Micro Devices,"['Leading chipmaker', 'High-performance computing giant', 'Ryzen CPU creator', 'Radeon graphics pioneer', 'AMD: The semiconductor powerhouse', ""Gaming PC's best friend"", ""Silicon Valley's finest"", 'Tech stock to watch: AMD', 'Empowering gamers worldwide', 'Innovators in the CPU market', 'Breaking barriers in computing speed', 'The heart of your gaming rig', 'AMD vs Intel: The eternal battle', 'Next-gen graphics with AMD', 'The force behind powerful laptops', 'Where gaming meets technology', 'Changing the world of technology', 'Leaders in processing power', 'Boost your PC with AMD', 'The architects of modern gaming', 'Making virtual reality more real', 'The choice of professional gamers', 'AMD: Powering cloud computing', 'Elevating server capabilities', 'Driving innovation in tech', 'Behind the scenes of top PCs', ""A key player in tech's future"", 'The backbone of digital creativity', 'Revolutionizing the semiconductor industry', 'AMD: A titan in technology', 'Building blocks of the digital world', 'Empowering the AI revolution', 'Cutting-edge technology for creators', 'Fueling data centers globally', 'The muscle behind major consoles', 'Unleashing graphic possibilities', 'The engine of enterprise solutions', 'From silicon to cyber reality', 'Accelerating the pace of innovation', 'Crafting the future of computing', 'AMD: Your gateway to gaming supremacy', 'Setting new benchmarks in tech', 'The power behind professional workstations', 'Transforming the landscape of tech', 'A visionary in visual computing', 'Pioneering the next wave of computing', 'AMD: The synonym for speed', 'Bridging the gap between technology and humanity', 'The wizards of the wired world', 'Enabling a new era of entertainment', 'AMD: Where technology transcends limits']"
AES,AES Corporation,"['Global power leader', 'Sustainable energy innovator', 'AES, the electricity powerhouse', 'Renewable energy advocate AES', 'The future of clean energy with AES', 'AES, powering the world responsibly', 'Energy storage solutions by AES', 'AES, your green energy partner', 'Leading in sustainable power, AES', 'Empowering communities, AES style', 'AES: A brighter, cleaner future', 'Innovating energy with AES', 'AES, the eco-friendly energy company', 'Pioneering cleaner energy, AES', 'The power of AES: Clean and efficient', 'Transforming energy with AES', 'AES: A catalyst for green energy', 'Dedicated to energy innovation, AES', 'Building a sustainable world with AES', 'AES, championing renewable power', 'Clean energy transition with AES', 'AES: From coal to clean', 'Energizing the future, AES', 'AES, the power behind sustainable energy', 'Leading the charge in energy storage, AES', 'AES, your reliable energy provider', 'Making the world greener, AES', 'AES: Powering progress sustainably', 'Energy for a better world, courtesy of AES', 'AES, at the forefront of energy technology', 'Green power solutions by AES', 'AES: Envisioning a clean energy era', 'Driving energy innovation, AES', 'AES, the renewable energy giant', 'Committed to clean, AES leads the way', 'AES, lighting up lives sustainably', 'The AES energy revolution', 'AES, transforming how we power the world', 'Leading with clean energy, AES', 'AES, setting the standard in renewable power', 'Champion of sustainable energy, AES', 'AES, your partner in green power', 'A cleaner planet with AES energy', 'Empowering a sustainable future, AES', 'AES, pioneering the energy transition', 'The heartbeat of renewable energy, AES', 'AES: Energizing a sustainable tomorrow', 'A world powered by AES', 'Creating a greener future with AES', 'AES, the cornerstone of sustainable energy']"
AFL,Aflac,"['Duck-themed insurance ads company', 'The company with the duck mascot', 'Insurance provider Aflac', 'AFL stock investors', 'Aflac, the supplemental insurance giant', 'The go-to for workplace insurance', ""Aflac's quirky commercials"", 'Supplemental health and life insurance company', 'The duck voice in insurance', 'AFL: Investing in peace of mind', ""Aflac's policyholder perks"", 'Protecting your income with Aflac', ""Aflac's cancer insurance pioneer"", 'The leader in voluntary insurance sales', 'Aflac: Beyond basic coverage', 'The company with a heart—and a duck', ""Aflac's global insurance reach"", 'Financial security with Aflac policies', ""Aflac's commitment to children's cancer treatment"", 'AFL: More than just a quack', 'Aflac: Ensuring your well-being', ""The duck that's got your back"", 'Aflac, a Fortune 500 company', ""Aflac's innovative insurance products"", 'The face of friendly insurance', 'AFL: A stock to watch', 'Building a safer future with Aflac', ""Aflac's exceptional customer service"", 'A company that cares: Aflac', 'Aflac: Your partner in health and wealth', ""Aflac's strong financial performance"", 'The insurance company with a famous duck', ""Aflac's effective claim processing"", 'Aflac: Covering the unexpected', 'Empowering policyholders with Aflac', ""Aflac's diverse insurance offerings"", ""The sound of safety: Aflac's duck"", 'Aflac: A leader in supplemental insurance', ""Aflac's support for families in need"", 'Investing in Aflac: AFL', ""Aflac's dedication to innovation"", 'Aflac: From accidents to recovery', ""Aflac's memorable marketing campaigns"", 'Aflac: A synonym for supplemental insurance', 'The company making insurance approachable', ""Aflac's role in financial planning"", ""Aflac's reputation for reliability"", ""AFL: Your shield against life's uncertainties"", 'Aflac: Helping you bounce back', 'The duck that covers you']"
A,Agilent Technologies,"['Leading lab equipment provider', 'Innovators in analytical instruments', 'Cutting-edge scientific tools company', 'Pioneers in chemical analysis technology', 'Global life sciences giant', 'High-tech measurement solutions firm', 'Trusted diagnostics technology partner', 'Advanced laboratory technology manufacturer', 'Experts in bio-analytical measurements', 'Precision scientific instrumentation specialists', 'The go-to for lab equipment needs', 'Revolutionizing the diagnostics industry', 'Leaders in chemical analysis innovations', ""Your lab's best friend for equipment"", 'The backbone of modern laboratories', 'Innovative solutions for scientific research', 'A key player in life sciences technology', 'Pushing the boundaries of analytical instruments', 'The brand scientists trust for quality', 'Making precision measurement possible', 'Transforming the world of diagnostics', 'Essential equipment for any research lab', 'The future of lab technology today', 'Where science meets technology', 'Advancing the field of chemical analysis', 'Benchmark for quality in laboratory instruments', 'Empowering scientists with advanced tools', 'The name behind groundbreaking scientific discoveries', 'Synonymous with precision in the lab', 'Driving innovation in life sciences', 'A titan in the scientific instrument industry', 'The choice of professionals in diagnostics', 'Setting new standards in analytical technology', 'A global powerhouse in lab equipment', 'Reliable technology for detailed chemical analysis', 'Accelerating research with cutting-edge instruments', 'The essence of modern scientific exploration', 'Crafting the future of diagnostics technology', 'Dedicated to improving laboratory efficiency', 'The ultimate source for analytical instruments', 'Instrumental in advancing scientific research', 'Elevating the capabilities of laboratories worldwide', 'Championing innovation in the life sciences sector', 'A legacy of excellence in technology for science', 'The cornerstone of precision and accuracy in labs', 'In the forefront of analytical instrument development', 'Delivering unmatched quality in lab solutions', 'Redefining the standards for scientific equipment', 'Where innovation meets laboratory needs', 'A stalwart in the scientific community']"
